,head_size_list,num_head_list,ff_dim_list,num_transformer_blocks_list,ape_label,time_list,sequence_length_list,n_list,training_loss_list,validation_loss_list,y_pred_ori_list,y_test_ori_list
0,16,2,2,1,63.71044756588756,6.182056188583374,1,0,"0     0.115413
1     0.088515
2     0.075946
3     0.062784
4     0.079255
        ...   
95    0.020576
96    0.016399
97    0.019390
98    0.018031
99    0.020792
Length: 100, dtype: float64","0     0.203614
1     0.171747
2     0.144805
3     0.122721
4     0.103951
        ...   
95    0.012079
96    0.012096
97    0.012694
98    0.011648
99    0.012461
Length: 100, dtype: float64",[0.00442668 0.0040555  0.00396941 ... 0.00439001 0.00436925 0.0043496 ],[0.0060687  0.0058902  0.0057051  ... 0.0033443  0.00331876 0.00329311]
1,16,2,2,1,36.16187055089476,5.4533774852752686,1,10,"0     0.019717
1     0.020720
2     0.018292
3     0.015915
4     0.016703
        ...   
95    0.014441
96    0.015936
97    0.016229
98    0.012172
99    0.017178
Length: 100, dtype: float64","0     0.012535
1     0.013329
2     0.013521
3     0.012858
4     0.012826
        ...   
95    0.012557
96    0.013652
97    0.014351
98    0.014232
99    0.014359
Length: 100, dtype: float64",[0.00836498 0.00750864 0.00654024 ... 0.00329808 0.00328676 0.00327498],[0.00696083 0.00681154 0.00665193 ... 0.00333697 0.00330899 0.00328025]
2,16,2,2,1,45.16228966394072,6.03962254524231,1,20,"0     0.016074
1     0.017643
2     0.016307
3     0.015889
4     0.013833
        ...   
95    0.011779
96    0.015115
97    0.012832
98    0.009020
99    0.008381
Length: 100, dtype: float64","0     0.014349
1     0.014153
2     0.015217
3     0.016019
4     0.016063
        ...   
95    0.016140
96    0.015606
97    0.016802
98    0.016412
99    0.016643
Length: 100, dtype: float64",[0.01227396 0.01151088 0.01078105 ... 0.0036103  0.00358058 0.00355165],[0.00738511 0.00728107 0.00716421 ... 0.00311768 0.00308517 0.00305135]
3,16,2,2,1,41.976454634824854,5.576749086380005,1,30,"0     0.010320
1     0.013493
2     0.013110
3     0.009998
4     0.010714
        ...   
95    0.012174
96    0.007811
97    0.012650
98    0.009714
99    0.012241
Length: 100, dtype: float64","0     0.017339
1     0.019097
2     0.020065
3     0.019648
4     0.020252
        ...   
95    0.023218
96    0.023279
97    0.022806
98    0.022048
99    0.022668
Length: 100, dtype: float64",[0.01312791 0.01318436 0.01303998 ... 0.00275597 0.00272564 0.0026957 ],[0.00791822 0.00786532 0.00779851 ... 0.003186   0.00314718 0.00310678]
4,16,2,2,1,35.49779977627674,5.429285764694214,1,40,"0     0.010098
1     0.012436
2     0.010339
3     0.012096
4     0.007886
        ...   
95    0.013280
96    0.008968
97    0.009813
98    0.008685
99    0.010717
Length: 100, dtype: float64","0     0.025143
1     0.024905
2     0.025672
3     0.025925
4     0.025709
        ...   
95    0.028345
96    0.029241
97    0.029671
98    0.030604
99    0.030505
Length: 100, dtype: float64",[0.01242421 0.01251308 0.01259477 ... 0.00188453 0.00185085 0.00181738],[0.00817674 0.00817434 0.00815855 ... 0.00303634 0.00298964 0.0029411 ]
5,16,2,2,1,32.046429374127094,5.392124176025391,1,50,"0     0.007970
1     0.010515
2     0.010191
3     0.010416
4     0.010098
        ...   
95    0.008340
96    0.008850
97    0.010626
98    0.010531
99    0.010003
Length: 100, dtype: float64","0     0.030106
1     0.029522
2     0.029464
3     0.028902
4     0.028833
        ...   
95    0.029947
96    0.030385
97    0.030091
98    0.030911
99    0.029511
Length: 100, dtype: float64",[0.01261927 0.012738   0.01285358 ... 0.00190093 0.00186269 0.00182415],[0.00849076 0.00853505 0.00856823 ... 0.0030006  0.00294425 0.00288633]
6,16,2,2,1,30.93454666368903,5.413928508758545,1,60,"0     0.010149
1     0.009909
2     0.009792
3     0.010492
4     0.010355
        ...   
95    0.011137
96    0.008363
97    0.009666
98    0.007999
99    0.010197
Length: 100, dtype: float64","0     0.027471
1     0.025163
2     0.024547
3     0.025410
4     0.024738
        ...   
95    0.021145
96    0.021858
97    0.021322
98    0.023237
99    0.022689
Length: 100, dtype: float64",[0.01505398 0.01522789 0.01539683 ... 0.00099474 0.00093985 0.00088769],[0.0106703  0.01077316 0.01086675 ... 0.00342731 0.00334558 0.00326667]
7,16,2,2,1,95.13593816785601,5.304850339889526,1,70,"0     0.022100
1     0.022551
2     0.021606
3     0.018783
4     0.019919
        ...   
95    0.016999
96    0.017635
97    0.016181
98    0.017508
99    0.017609
Length: 100, dtype: float64","0     0.014464
1     0.012730
2     0.011448
3     0.010321
4     0.010283
        ...   
95    0.014435
96    0.013990
97    0.014137
98    0.013931
99    0.013535
Length: 100, dtype: float64",[0.01457613 0.01426774 0.0139597  ... 0.03501517 0.03508152 0.03514118],[0.01261961 0.01234394 0.01207007 ... 0.01407322 0.01410448 0.01413123]
8,16,2,2,1,27.751198831480554,5.3051629066467285,1,80,"0     0.029486
1     0.029107
2     0.029062
3     0.020179
4     0.025062
        ...   
95    0.011393
96    0.014899
97    0.013014
98    0.015209
99    0.016946
Length: 100, dtype: float64","0     0.129905
1     0.128724
2     0.127031
3     0.125751
4     0.124213
        ...   
95    0.099742
96    0.099732
97    0.099689
98    0.099543
99    0.100312
Length: 100, dtype: float64",[0.39139366 0.39257252 0.39271188 ... 0.44735035 0.45000273 0.45278162],[0.23639105 0.23689636 0.23750595 ... 0.31706017 0.31759511 0.31820337]
9,16,2,2,1,80.41155202216798,5.35361385345459,1,90,"0     0.025156
1     0.020596
2     0.019343
3     0.016053
4     0.016150
        ...   
95    0.011727
96    0.013723
97    0.013550
98    0.013537
99    0.014822
Length: 100, dtype: float64","0     0.019114
1     0.019032
2     0.019786
3     0.020164
4     0.020261
        ...   
95    0.027334
96    0.027922
97    0.027768
98    0.027709
99    0.027659
Length: 100, dtype: float64",[0.01162443 0.01177424 0.01191229 ... 0.00936466 0.00938914 0.00941693],[0.01334172 0.01334298 0.01332596 ... 0.00402402 0.00408394 0.00413388]
